,SampleID,Treatment,Replicate,Sex,TimeSinceEclosion,ExpRound,KDtime,Count,WingLength,Trial
1,E.004,Control,E,M,48h,1,57.6333333,1,2.63,F
2,E.005,Control,E,M,48h,1,39.65,1,NA,G
3,E.006,Control,E,M,48h,1,42.3666667,1,2.59,G
4,E.007,Control,E,F,48h,1,47.2166667,1,3.144,H
5,E.009,Control,E,F,48h,1,41.4833333,1,3.108,I
6,E.010,Control,E,F,48h,1,43.0833333,1,3.145,I
7,E.011,Control,E,F,48h,1,59.4,1,3.155,J
8,E.012,Control,E,F,48h,1,59.95,1,3.089,J
9,E.013,Control,E,M,48h,1,54.9666667,1,2.566,K
10,E.015,Control,E,F,48h,1,58.3333333,1,3.123,L
11,E.018,Control,E,F,48h,1,49.9166667,1,3.227,N
12,E.019,Control,E,F,48h,1,51.5666667,1,3.043,N
13,E.020,Control,E,F,48h,1,47.5166667,1,3.321,O
14,E.022,Control,E,F,48h,1,55.9333333,1,3.122,P
15,E.023,Control,E,F,48h,1,57,1,3.128,P
16,E.024,Control,E,F,48h,1,46.8833333,1,3.056,P
17,E.025,Control,E,F,48h,1,58.25,1,NA,Q
18,E.026,Control,E,F,48h,1,45.3333333,1,3.129,Q
19,E.027,Control,E,F,48h,1,40.9166667,1,NA,R
20,E.028,Control,E,F,48h,1,41.1,1,3.217,S
21,F.002,Control,F,M,48h,1,54.7333333,1,2.647,C
22,F.003,Control,F,M,48h,1,66.1,1,NA,C
23,F.005,Control,F,M,48h,1,66.45,1,2.636,D
24,F.009,Control,F,M,48h,1,55.3,1,2.655,F
25,F.011,Control,F,M,48h,1,51.4666667,1,NA,G
26,F.012,Control,F,M,48h,1,59.05,1,2.707,G
27,F.013,Control,F,M,48h,1,47.3666667,1,NA,G
28,F.015,Control,F,M,48h,1,57.5,1,2.623,H
29,F.016,Control,F,F,48h,1,47.8833333,1,3.233,I
30,F.017,Control,F,M,48h,1,51.7333333,1,2.527,I
31,F.018,Control,F,F,48h,1,54.3833333,1,3.184,J
