,SampleID,Treatment,Replicate,Sex,KDtime,Trial,TimeSinceEclosed,ExpRound,Count,WingLength
1,E.001,Control,E,M,48.21666667,B,24h,1,1,NA
2,E.002,Control,E,M,51.41666667,B,24h,1,1,NA
3,E.003,Control,E,M,44.41666667,E,24h,1,1,NA
4,E.004,Control,E,M,57.63333333,F,48h,1,1,2.63
5,E.005,Control,E,M,39.65,G,48h,1,1,NA
6,E.006,Control,E,M,42.36666667,G,48h,1,1,2.59
7,E.007,Control,E,F,47.21666667,H,48h,1,1,3.144
8,E.008,Control,E,M,44.65,H,48h,1,1,2.689
9,E.009,Control,E,F,41.48333333,I,48h,1,1,3.108
10,E.010,Control,E,F,43.08333333,I,48h,1,1,3.145
11,E.011,Control,E,F,59.4,J,48h,1,1,3.155
12,E.012,Control,E,F,59.95,J,48h,1,1,3.089
13,E.013,Control,E,M,54.96666667,K,48h,1,1,2.566
14,E.014,Control,E,M,NA,L,48h,1,1,2.59
15,E.015,Control,E,F,58.33333333,L,48h,1,1,3.123
16,E.016,Control,E,M,46.3,M,24h,1,1,NA
17,E.017,Control,E,F,53.56666667,M,48h,1,1,NA
18,E.018,Control,E,F,49.91666667,N,48h,1,1,3.227
19,E.019,Control,E,F,51.56666667,N,48h,1,1,3.043
20,E.020,Control,E,F,47.51666667,O,48h,1,1,3.321
21,E.021,Control,E,M,44.66666667,O,48h,1,1,2.723
22,E.022,Control,E,F,55.93333333,P,48h,1,1,3.122
23,E.023,Control,E,F,57,P,48h,1,1,3.128
24,E.024,Control,E,F,46.88333333,P,48h,1,1,3.056
25,E.025,Control,E,F,58.25,Q,48h,1,1,NA
26,E.026,Control,E,F,45.33333333,Q,48h,1,1,3.129
27,E.027,Control,E,F,40.91666667,R,48h,1,1,NA
28,E.028,Control,E,F,41.1,S,48h,1,1,3.217
29,E.029,Control,E,F,49.31666667,T,24h,1,1,NA
30,E.030,Control,E,M,55.33333333,T,24h,1,1,NA
31,E.031,Control,E,F,71.55,T,24h,1,1,NA
32,F.001,Control,F,M,NA,C,48h,1,1,NA
33,F.002,Control,F,M,54.73333333,C,48h,1,1,2.647
34,F.003,Control,F,M,66.1,C,48h,1,1,NA
35,F.004,Control,F,M,62.66666667,D,48h,1,1,NA
36,F.005,Control,F,M,66.45,D,48h,1,1,2.636
37,F.006,Control,F,F,47.6,E,24h,1,1,NA
38,F.007,Control,F,M,52.38333333,E,24h,1,1,NA
39,F.008,Control,F,M,58.93333333,F,48h,1,1,2.543
40,F.009,Control,F,M,55.3,F,48h,1,1,2.655
41,F.010,Control,F,F,61.13333333,F,48h,1,1,3.221
42,F.011,Control,F,M,51.46666667,G,48h,1,1,NA
43,F.012,Control,F,M,59.05,G,48h,1,1,2.707
44,F.013,Control,F,M,47.36666667,G,48h,1,1,NA
45,F.014,Control,F,M,49.13333333,H,48h,1,1,2.44
